Network 0 2000 1500 null
InDegree avgK:0.0 avgK2:0.0 [2000, 0, 0, 0, 0, 0, 0, 0, 0]
OutDegree avgK:0.0 avgK2:0.0 [2000, 0, 0, 0, 0, 0, 0, 0, 0]
UndirectedDegree avgK:1.5 avgK2:3.794 [445, 687, 484, 248, 95, 30, 7, 3, 1]
Links
1228 199 false null null
1886 282 false null null
1285 707 false null null
373 1639 false null null
1619 1885 false null null
1450 1940 false null null
1088 1529 false null null
1677 1357 false null null
703 1008 false null null
363 1345 false null null
1974 1841 false null null
695 677 false null null
383 874 false null null
1695 429 false null null
1576 84 false null null
1099 1394 false null null
980 502 false null null
1409 762 false null null
749 1730 false null null
135 862 false null null
787 1970 false null null
488 90 false null null
784 486 false null null
1073 984 false null null
1210 91 false null null
1162 1494 false null null
1828 781 false null null
1565 968 false null null
192 1669 false null null
1274 302 false null null
908 359 false null null
239 178 false null null
437 1687 false null null
1139 846 false null null
908 1644 false null null
680 1063 false null null
971 715 false null null
553 1066 false null null
888 1165 false null null
1345 153 false null null
687 1838 false null null
206 921 false null null
264 479 false null null
1578 1914 false null null
664 1090 false null null
1956 1236 false null null
976 1952 false null null
999 1011 false null null
68 1314 false null null
1530 329 false null null
1897 546 false null null
1396 1346 false null null
782 1118 false null null
1619 1712 false null null
4 1713 false null null
925 1208 false null null
1527 1484 false null null
1942 506 false null null
508 1483 false null null
341 1534 false null null
1375 1655 false null null
72 777 false null null
1572 366 false null null
159 1627 false null null
1923 626 false null null
107 815 false null null
1687 283 false null null
1804 491 false null null
1158 1015 false null null
1602 736 false null null
1209 311 false null null
1565 996 false null null
1042 815 false null null
585 184 false null null
1263 581 false null null
1634 1323 false null null
1128 1111 false null null
25 1002 false null null
1736 491 false null null
1520 1080 false null null
1505 805 false null null
401 1079 false null null
1461 981 false null null
1555 1380 false null null
179 525 false null null
1569 1426 false null null
561 1768 false null null
1254 186 false null null
112 1302 false null null
891 1486 false null null
411 787 false null null
1930 156 false null null
493 943 false null null
408 113 false null null
1292 1194 false null null
8 707 false null null
1678 1834 false null null
1446 506 false null null
462 302 false null null
621 290 false null null
281 1941 false null null
1327 1254 false null null
1597 1466 false null null
510 1779 false null null
1406 728 false null null
278 1423 false null null
622 1205 false null null
1846 1449 false null null
320 554 false null null
635 1772 false null null
1656 1452 false null null
1241 443 false null null
1412 1339 false null null
311 1245 false null null
476 1819 false null null
1365 533 false null null
1589 735 false null null
289 1703 false null null
554 206 false null null
1498 1192 false null null
1122 362 false null null
1265 1500 false null null
1455 1953 false null null
1056 1310 false null null
664 313 false null null
1169 1249 false null null
187 1098 false null null
904 55 false null null
330 210 false null null
1427 1212 false null null
1701 1718 false null null
93 1478 false null null
1218 740 false null null
1685 1484 false null null
1812 40 false null null
1221 561 false null null
1730 59 false null null
1491 455 false null null
529 189 false null null
1997 1856 false null null
35 227 false null null
1396 1084 false null null
411 170 false null null
816 437 false null null
1018 1652 false null null
1225 1995 false null null
1152 797 false null null
711 1415 false null null
706 1581 false null null
88 530 false null null
1700 960 false null null
633 538 false null null
392 381 false null null
732 1825 false null null
621 1452 false null null
946 1448 false null null
1785 1878 false null null
591 328 false null null
17 1430 false null null
1526 1864 false null null
823 1253 false null null
1681 56 false null null
143 1348 false null null
281 1371 false null null
1725 488 false null null
988 850 false null null
1245 1045 false null null
1400 292 false null null
495 1473 false null null
1896 1630 false null null
492 636 false null null
1820 1915 false null null
1935 1743 false null null
1778 129 false null null
952 455 false null null
297 821 false null null
1263 1460 false null null
1836 530 false null null
591 598 false null null
512 1157 false null null
1563 1231 false null null
1339 1147 false null null
205 60 false null null
1399 1511 false null null
403 1609 false null null
1966 1939 false null null
900 1596 false null null
1330 1019 false null null
825 1120 false null null
1538 1801 false null null
1025 1855 false null null
678 44 false null null
821 318 false null null
115 317 false null null
1493 1699 false null null
1793 1577 false null null
1693 1445 false null null
1996 240 false null null
1876 1303 false null null
223 1256 false null null
94 197 false null null
596 159 false null null
1555 359 false null null
1371 1698 false null null
1657 135 false null null
1622 1320 false null null
1594 1294 false null null
1331 152 false null null
1827 74 false null null
1861 1792 false null null
1742 1923 false null null
1296 813 false null null
60 13 false null null
1329 1983 false null null
1669 21 false null null
513 214 false null null
557 328 false null null
280 226 false null null
63 1536 false null null
1328 676 false null null
1864 330 false null null
841 1181 false null null
595 841 false null null
1156 944 false null null
149 588 false null null
888 1362 false null null
1425 1305 false null null
1218 584 false null null
1997 1857 false null null
1297 133 false null null
588 260 false null null
751 1788 false null null
592 1872 false null null
1507 1901 false null null
1490 452 false null null
417 218 false null null
834 556 false null null
680 126 false null null
174 1210 false null null
1218 1152 false null null
1569 205 false null null
1210 692 false null null
333 252 false null null
1509 1855 false null null
1069 4 false null null
1089 1220 false null null
1451 183 false null null
1339 65 false null null
1296 90 false null null
1763 1545 false null null
1212 1961 false null null
584 174 false null null
1189 87 false null null
452 793 false null null
926 344 false null null
1712 436 false null null
1735 557 false null null
718 1438 false null null
1373 328 false null null
571 1747 false null null
824 1877 false null null
624 605 false null null
908 173 false null null
1911 398 false null null
1396 1801 false null null
359 674 false null null
962 1282 false null null
575 1592 false null null
1635 804 false null null
63 1027 false null null
19 444 false null null
28 135 false null null
976 129 false null null
588 738 false null null
438 1267 false null null
74 1055 false null null
710 1749 false null null
739 1365 false null null
260 112 false null null
1159 226 false null null
1321 1456 false null null
1216 705 false null null
168 1302 false null null
1534 1301 false null null
84 1498 false null null
141 82 false null null
210 893 false null null
1241 1687 false null null
1179 981 false null null
826 1945 false null null
255 325 false null null
895 656 false null null
1842 1396 false null null
1371 1475 false null null
496 704 false null null
139 1081 false null null
700 1334 false null null
91 559 false null null
585 1538 false null null
1378 244 false null null
402 225 false null null
1098 619 false null null
491 1802 false null null
619 782 false null null
101 1546 false null null
337 1729 false null null
1886 375 false null null
1732 1441 false null null
1292 1241 false null null
553 1063 false null null
1021 1250 false null null
868 1641 false null null
1564 385 false null null
1329 74 false null null
1500 548 false null null
40 80 false null null
1897 1869 false null null
611 1446 false null null
1659 1456 false null null
169 1979 false null null
1699 362 false null null
522 828 false null null
259 126 false null null
1076 174 false null null
1352 641 false null null
1069 882 false null null
864 1666 false null null
1432 445 false null null
1152 628 false null null
524 591 false null null
619 185 false null null
1217 1179 false null null
1803 90 false null null
1235 834 false null null
1042 1563 false null null
1032 69 false null null
1323 437 false null null
421 1927 false null null
940 1862 false null null
544 390 false null null
1852 862 false null null
1601 1948 false null null
1202 843 false null null
