Networks 0 10 1000 null
SubNetworks
Network 0 100 200 null
InDegree avgK:0.0 avgK2:0.0 [100, 0, 0, 0, 0, 0, 0, 0, 0, 0]
OutDegree avgK:0.0 avgK2:0.0 [100, 0, 0, 0, 0, 0, 0, 0, 0, 0]
UndirectedDegree avgK:4.0 avgK2:19.4 [1, 9, 14, 13, 23, 21, 11, 4, 3, 1]
Nodes
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 
41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 
61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 
81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 
Links
23 95 false null null
60 25 false null null
87 34 false null null
13 17 false null null
93 63 false null null
65 77 false null null
89 7 false null null
19 38 false null null
76 13 false null null
62 19 false null null
14 70 false null null
12 94 false null null
50 13 false null null
62 42 false null null
26 0 false null null
40 43 false null null
53 78 false null null
11 16 false null null
69 5 false null null
39 87 false null null
61 3 false null null
61 63 false null null
55 70 false null null
76 74 false null null
77 32 false null null
50 44 false null null
30 64 false null null
55 44 false null null
65 2 false null null
44 45 false null null
92 13 false null null
40 80 false null null
3 8 false null null
63 32 false null null
8 21 false null null
69 78 false null null
62 41 false null null
13 41 false null null
92 17 false null null
89 71 false null null
6 11 false null null
33 85 false null null
12 85 false null null
47 81 false null null
83 60 false null null
97 0 false null null
39 58 false null null
76 49 false null null
60 71 false null null
29 19 false null null
90 33 false null null
22 30 false null null
86 60 false null null
24 5 false null null
49 31 false null null
54 38 false null null
22 90 false null null
71 59 false null null
31 18 false null null
67 71 false null null
26 94 false null null
49 11 false null null
41 42 false null null
97 53 false null null
91 45 false null null
84 9 false null null
53 23 false null null
8 82 false null null
24 19 false null null
50 4 false null null
56 71 false null null
18 86 false null null
9 76 false null null
93 66 false null null
87 33 false null null
61 40 false null null
6 21 false null null
29 96 false null null
45 2 false null null
24 95 false null null
65 95 false null null
67 28 false null null
5 63 false null null
56 53 false null null
67 18 false null null
56 15 false null null
40 13 false null null
56 99 false null null
55 71 false null null
59 14 false null null
16 8 false null null
99 64 false null null
27 57 false null null
86 49 false null null
92 11 false null null
23 97 false null null
10 25 false null null
35 17 false null null
46 96 false null null
98 89 false null null
75 66 false null null
49 98 false null null
31 7 false null null
94 36 false null null
23 31 false null null
68 93 false null null
74 99 false null null
93 41 false null null
79 68 false null null
81 88 false null null
65 91 false null null
76 82 false null null
86 95 false null null
54 55 false null null
81 93 false null null
34 73 false null null
36 40 false null null
33 18 false null null
74 57 false null null
79 88 false null null
12 20 false null null
30 56 false null null
36 39 false null null
34 24 false null null
61 19 false null null
54 82 false null null
17 76 false null null
41 14 false null null
59 33 false null null
15 16 false null null
67 0 false null null
97 70 false null null
5 50 false null null
30 74 false null null
34 92 false null null
91 94 false null null
0 39 false null null
76 54 false null null
27 91 false null null
68 24 false null null
9 26 false null null
6 25 false null null
18 96 false null null
40 24 false null null
