Network 0 1000 2000 null
InDegree avgK:0.0 avgK2:0.0 [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
OutDegree avgK:0.0 avgK2:0.0 [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
UndirectedDegree avgK:4.0 avgK2:19.894 [13, 84, 140, 188, 211, 140, 118, 55, 31, 14, 5, 1]
Links
936 465 false null null
374 605 false null null
901 896 false null null
904 314 false null null
387 238 false null null
302 333 false null null
651 953 false null null
119 606 false null null
844 565 false null null
875 972 false null null
772 996 false null null
486 648 false null null
782 806 false null null
622 992 false null null
378 229 false null null
564 973 false null null
801 579 false null null
961 390 false null null
859 800 false null null
821 247 false null null
889 326 false null null
297 985 false null null
869 949 false null null
921 661 false null null
213 610 false null null
278 889 false null null
768 996 false null null
467 663 false null null
847 580 false null null
458 766 false null null
653 573 false null null
454 209 false null null
238 532 false null null
734 605 false null null
862 771 false null null
535 393 false null null
687 588 false null null
526 525 false null null
904 493 false null null
680 534 false null null
356 413 false null null
766 734 false null null
353 510 false null null
986 528 false null null
338 532 false null null
506 712 false null null
696 999 false null null
980 471 false null null
294 586 false null null
978 846 false null null
791 764 false null null
999 916 false null null
488 975 false null null
449 400 false null null
761 90 false null null
965 716 false null null
175 670 false null null
751 641 false null null
763 898 false null null
961 885 false null null
209 502 false null null
607 890 false null null
673 730 false null null
795 109 false null null
115 39 false null null
666 434 false null null
311 749 false null null
695 941 false null null
647 690 false null null
793 648 false null null
790 570 false null null
565 821 false null null
811 702 false null null
946 628 false null null
19 699 false null null
765 484 false null null
601 491 false null null
977 565 false null null
327 795 false null null
983 990 false null null
576 174 false null null
923 962 false null null
391 786 false null null
223 984 false null null
979 940 false null null
251 813 false null null
490 988 false null null
832 541 false null null
291 457 false null null
892 956 false null null
867 937 false null null
611 364 false null null
998 600 false null null
652 848 false null null
810 712 false null null
994 163 false null null
744 517 false null null
304 677 false null null
602 403 false null null
700 333 false null null
466 975 false null null
293 950 false null null
726 538 false null null
395 696 false null null
695 143 false null null
578 490 false null null
341 994 false null null
298 724 false null null
473 921 false null null
547 838 false null null
833 907 false null null
797 688 false null null
995 723 false null null
948 831 false null null
436 235 false null null
929 307 false null null
508 254 false null null
188 561 false null null
507 894 false null null
965 389 false null null
620 132 false null null
495 572 false null null
920 844 false null null
613 528 false null null
709 282 false null null
127 545 false null null
749 224 false null null
22 48 false null null
803 352 false null null
208 954 false null null
113 424 false null null
673 932 false null null
525 862 false null null
533 951 false null null
763 259 false null null
677 951 false null null
615 328 false null null
190 742 false null null
191 922 false null null
450 216 false null null
908 52 false null null
513 212 false null null
286 957 false null null
452 948 false null null
895 660 false null null
945 827 false null null
125 794 false null null
360 478 false null null
264 682 false null null
745 423 false null null
867 686 false null null
629 954 false null null
403 727 false null null
764 924 false null null
659 826 false null null
38 539 false null null
167 860 false null null
56 534 false null null
570 306 false null null
630 867 false null null
892 304 false null null
593 966 false null null
283 904 false null null
477 644 false null null
897 833 false null null
896 682 false null null
721 887 false null null
907 105 false null null
569 49 false null null
223 983 false null null
