Network 0 1000 2000 null
InDegree avgK:0.0 avgK2:0.0 [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
OutDegree avgK:0.0 avgK2:0.0 [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
UndirectedDegree avgK:4.0 avgK2:20.088 [22, 75, 141, 189, 207, 152, 96, 66, 31, 12, 7, 1, 0, 1]
Links
971 683 false null null
248 397 false null null
753 34 false null null
828 923 false null null
268 125 false null null
270 213 false null null
825 824 false null null
820 756 false null null
101 756 false null null
263 53 false null null
732 714 false null null
646 477 false null null
827 724 false null null
75 944 false null null
725 74 false null null
834 400 false null null
495 950 false null null
116 20 false null null
445 546 false null null
318 527 false null null
848 572 false null null
175 773 false null null
254 236 false null null
958 45 false null null
438 725 false null null
564 920 false null null
268 215 false null null
226 283 false null null
107 515 false null null
362 948 false null null
698 126 false null null
742 978 false null null
966 736 false null null
586 865 false null null
48 436 false null null
405 629 false null null
333 193 false null null
771 905 false null null
896 418 false null null
35 778 false null null
645 443 false null null
946 638 false null null
215 400 false null null
599 280 false null null
226 978 false null null
888 386 false null null
598 397 false null null
563 688 false null null
554 718 false null null
740 6 false null null
246 445 false null null
583 852 false null null
116 478 false null null
398 773 false null null
763 468 false null null
486 96 false null null
307 53 false null null
209 637 false null null
388 78 false null null
76 682 false null null
196 297 false null null
911 681 false null null
187 725 false null null
724 596 false null null
826 982 false null null
253 475 false null null
262 443 false null null
487 388 false null null
241 690 false null null
477 218 false null null
568 148 false null null
921 856 false null null
259 359 false null null
983 263 false null null
366 30 false null null
526 834 false null null
294 141 false null null
584 579 false null null
441 3 false null null
83 434 false null null
353 561 false null null
179 619 false null null
206 810 false null null
328 215 false null null
540 690 false null null
309 118 false null null
858 455 false null null
290 967 false null null
583 522 false null null
240 832 false null null
228 708 false null null
513 99 false null null
941 971 false null null
10 117 false null null
305 761 false null null
716 309 false null null
770 997 false null null
184 674 false null null
537 917 false null null
583 801 false null null
192 840 false null null
352 359 false null null
861 957 false null null
981 696 false null null
253 113 false null null
467 227 false null null
19 78 false null null
974 877 false null null
168 229 false null null
556 426 false null null
27 145 false null null
691 818 false null null
519 91 false null null
559 268 false null null
566 753 false null null
699 150 false null null
557 849 false null null
166 8 false null null
925 832 false null null
745 53 false null null
411 263 false null null
666 134 false null null
304 988 false null null
504 780 false null null
816 639 false null null
957 359 false null null
212 609 false null null
863 3 false null null
947 301 false null null
253 182 false null null
600 782 false null null
909 335 false null null
456 688 false null null
525 869 false null null
706 889 false null null
947 299 false null null
213 561 false null null
421 175 false null null
181 783 false null null
311 862 false null null
25 635 false null null
73 687 false null null
744 51 false null null
245 457 false null null
975 556 false null null
423 54 false null null
367 283 false null null
847 559 false null null
328 12 false null null
387 401 false null null
230 455 false null null
984 683 false null null
761 239 false null null
284 305 false null null
625 420 false null null
808 407 false null null
401 926 false null null
394 524 false null null
745 98 false null null
181 440 false null null
992 684 false null null
37 530 false null null
426 644 false null null
451 934 false null null
700 395 false null null
328 598 false null null
508 363 false null null
592 900 false null null
923 826 false null null
72 504 false null null
809 26 false null null
168 404 false null null
760 511 false null null
148 703 false null null
98 664 false null null
737 680 false null null
550 581 false null null
693 932 false null null
625 168 false null null
794 489 false null null
893 58 false null null
853 718 false null null
985 154 false null null
818 746 false null null
872 846 false null null
943 673 false null null
50 801 false null null
751 176 false null null
787 691 false null null
403 125 false null null
22 532 false null null
651 399 false null null
871 284 false null null
817 836 false null null
636 915 false null null
791 442 false null null
251 514 false null null
786 236 false null null
628 483 false null null
219 502 false null null
160 991 false null null
112 180 false null null
155 902 false null null
526 91 false null null
836 636 false null null
897 516 false null null
964 217 false null null
791 999 false null null
734 34 false null null
26 538 false null null
309 282 false null null
708 700 false null null
458 800 false null null
803 842 false null null
435 662 false null null
659 359 false null null
1 15 false null null
568 799 false null null
373 438 false null null
264 746 false null null
659 976 false null null
434 145 false null null
917 549 false null null
956 669 false null null
318 413 false null null
338 486 false null null
724 474 false null null
210 510 false null null
3 447 false null null
48 28 false null null
400 46 false null null
443 493 false null null
587 56 false null null
255 338 false null null
813 609 false null null
637 734 false null null
244 94 false null null
1 55 false null null
698 247 false null null
449 665 false null null
99 113 false null null
162 467 false null null
990 998 false null null
645 229 false null null
578 64 false null null
673 963 false null null
671 641 false null null
440 905 false null null
938 330 false null null
831 267 false null null
559 870 false null null
166 910 false null null
618 82 false null null
848 686 false null null
741 421 false null null
953 541 false null null
285 357 false null null
163 900 false null null
721 174 false null null
876 547 false null null
489 911 false null null
735 872 false null null
763 43 false null null
115 768 false null null
319 885 false null null
241 322 false null null
83 333 false null null
805 857 false null null
745 786 false null null
135 551 false null null
54 631 false null null
737 837 false null null
943 213 false null null
121 889 false null null
77 356 false null null
652 533 false null null
449 653 false null null
812 485 false null null
12 414 false null null
608 562 false null null
804 187 false null null
764 976 false null null
116 340 false null null
553 682 false null null
336 917 false null null
836 356 false null null
793 299 false null null
238 350 false null null
835 275 false null null
743 825 false null null
235 482 false null null
103 347 false null null
888 446 false null null
707 447 false null null
664 114 false null null
923 735 false null null
376 747 false null null
49 768 false null null
921 59 false null null
13 945 false null null
955 984 false null null
184 614 false null null
937 663 false null null
826 627 false null null
483 727 false null null
851 578 false null null
954 880 false null null
292 461 false null null
619 542 false null null
151 164 false null null
844 505 false null null
466 160 false null null
929 867 false null null
543 115 false null null
854 214 false null null
790 614 false null null
291 51 false null null
55 504 false null null
48 142 false null null
382 671 false null null
980 738 false null null
442 470 false null null
160 343 false null null
897 498 false null null
169 497 false null null
799 820 false null null
55 444 false null null
167 971 false null null
606 907 false null null
331 457 false null null
825 108 false null null
659 136 false null null
439 640 false null null
303 515 false null null
720 328 false null null
729 356 false null null
255 768 false null null
134 54 false null null
868 615 false null null
732 977 false null null
140 996 false null null
853 914 false null null
528 113 false null null
910 393 false null null
892 450 false null null
740 750 false null null
402 448 false null null
647 689 false null null
886 762 false null null
633 222 false null null
669 4 false null null
903 417 false null null
455 377 false null null
808 187 false null null
644 778 false null null
589 87 false null null
164 528 false null null
252 499 false null null
387 939 false null null
90 439 false null null
367 133 false null null
674 942 false null null
236 217 false null null
192 252 false null null
533 172 false null null
783 699 false null null
410 979 false null null
165 249 false null null
262 323 false null null
657 284 false null null
652 965 false null null
428 893 false null null
173 279 false null null
463 626 false null null
423 339 false null null
517 403 false null null
949 765 false null null
235 110 false null null
909 397 false null null
956 81 false null null
191 434 false null null
259 728 false null null
72 699 false null null
841 492 false null null
92 16 false null null
917 907 false null null
1 575 false null null
189 130 false null null
39 544 false null null
813 763 false null null
853 202 false null null
409 61 false null null
645 588 false null null
596 65 false null null
90 602 false null null
538 715 false null null
283 643 false null null
385 709 false null null
255 840 false null null
611 437 false null null
448 247 false null null
180 191 false null null
749 61 false null null
397 520 false null null
478 729 false null null
286 831 false null null
141 628 false null null
198 835 false null null
94 61 false null null
814 132 false null null
933 776 false null null
69 347 false null null
29 542 false null null
335 172 false null null
609 305 false null null
760 451 false null null
268 854 false null null
176 503 false null null
35 323 false null null
333 990 false null null
787 20 false null null
627 903 false null null
507 410 false null null
740 507 false null null
327 578 false null null
917 300 false null null
25 673 false null null
685 888 false null null
373 456 false null null
167 687 false null null
656 398 false null null
249 587 false null null
286 593 false null null
451 257 false null null
596 837 false null null
977 126 false null null
712 527 false null null
846 252 false null null
447 486 false null null
212 58 false null null
465 59 false null null
730 146 false null null
775 944 false null null
242 563 false null null
170 337 false null null
285 70 false null null
677 825 false null null
512 677 false null null
545 740 false null null
661 823 false null null
263 757 false null null
897 873 false null null
772 917 false null null
615 139 false null null
729 512 false null null
758 879 false null null
290 9 false null null
312 802 false null null
578 636 false null null
311 187 false null null
399 0 false null null
176 214 false null null
489 540 false null null
133 895 false null null
673 957 false null null
830 646 false null null
426 553 false null null
98 628 false null null
179 646 false null null
740 8 false null null
850 43 false null null
837 215 false null null
766 672 false null null
397 203 false null null
687 937 false null null
738 19 false null null
130 345 false null null
758 63 false null null
900 820 false null null
732 5 false null null
774 960 false null null
513 431 false null null
407 574 false null null
912 616 false null null
194 970 false null null
637 908 false null null
818 901 false null null
841 481 false null null
240 856 false null null
318 728 false null null
664 654 false null null
640 768 false null null
164 551 false null null
6 128 false null null
490 200 false null null
372 996 false null null
985 493 false null null
76 396 false null null
518 945 false null null
725 682 false null null
652 806 false null null
171 377 false null null
627 978 false null null
504 872 false null null
585 920 false null null
756 688 false null null
733 721 false null null
59 349 false null null
571 832 false null null
428 359 false null null
410 270 false null null
596 784 false null null
897 964 false null null
887 982 false null null
388 419 false null null
687 360 false null null
726 420 false null null
465 337 false null null
852 795 false null null
176 507 false null null
879 213 false null null
703 597 false null null
741 276 false null null
466 583 false null null
199 400 false null null
583 822 false null null
344 951 false null null
980 485 false null null
880 278 false null null
391 986 false null null
417 120 false null null
436 617 false null null
881 26 false null null
268 272 false null null
540 336 false null null
53 222 false null null
764 167 false null null
462 208 false null null
724 533 false null null
6 505 false null null
357 385 false null null
744 825 false null null
590 44 false null null
919 636 false null null
180 966 false null null
98 432 false null null
639 258 false null null
572 519 false null null
2 968 false null null
106 679 false null null
383 907 false null null
771 224 false null null
816 219 false null null
887 90 false null null
916 969 false null null
526 80 false null null
911 304 false null null
956 928 false null null
213 537 false null null
769 230 false null null
621 900 false null null
317 733 false null null
400 312 false null null
106 142 false null null
98 715 false null null
326 834 false null null
844 702 false null null
439 358 false null null
622 292 false null null
95 308 false null null
600 384 false null null
978 46 false null null
52 870 false null null
311 213 false null null
41 651 false null null
176 195 false null null
464 479 false null null
749 661 false null null
992 277 false null null
797 302 false null null
261 527 false null null
426 531 false null null
404 380 false null null
770 108 false null null
180 365 false null null
25 883 false null null
703 461 false null null
303 252 false null null
328 605 false null null
618 586 false null null
784 127 false null null
201 182 false null null
657 189 false null null
301 118 false null null
285 316 false null null
853 233 false null null
943 771 false null null
337 683 false null null
498 588 false null null
981 34 false null null
428 410 false null null
35 908 false null null
743 865 false null null
27 360 false null null
130 585 false null null
765 831 false null null
877 676 false null null
752 496 false null null
207 925 false null null
338 841 false null null
95 944 false null null
486 610 false null null
636 104 false null null
244 669 false null null
26 96 false null null
407 240 false null null
535 394 false null null
395 410 false null null
650 336 false null null
374 896 false null null
743 834 false null null
568 121 false null null
709 491 false null null
538 932 false null null
374 361 false null null
359 229 false null null
154 110 false null null
120 134 false null null
530 466 false null null
774 272 false null null
16 229 false null null
353 284 false null null
924 904 false null null
58 390 false null null
50 211 false null null
503 101 false null null
947 462 false null null
780 681 false null null
106 886 false null null
738 535 false null null
604 223 false null null
126 844 false null null
653 406 false null null
152 993 false null null
558 116 false null null
736 324 false null null
556 904 false null null
197 839 false null null
192 740 false null null
467 173 false null null
686 351 false null null
59 229 false null null
343 794 false null null
362 861 false null null
754 857 false null null
425 284 false null null
535 190 false null null
91 927 false null null
428 775 false null null
549 98 false null null
433 466 false null null
280 566 false null null
750 815 false null null
636 765 false null null
197 857 false null null
431 993 false null null
511 285 false null null
215 472 false null null
86 752 false null null
595 263 false null null
570 855 false null null
45 787 false null null
786 801 false null null
621 987 false null null
557 451 false null null
604 654 false null null
89 198 false null null
20 248 false null null
717 545 false null null
561 250 false null null
688 70 false null null
725 745 false null null
592 562 false null null
24 713 false null null
306 947 false null null
