"Class","org.leores.math.Distribution$DistElement"
"dFrom","dTo","n"
"2.23624032258396E-6","0.001002236240322584","98"
"0.001002236240322584","0.002002236240322584","103"
"0.002002236240322584","0.003002236240322584","85"
"0.003002236240322584","0.004002236240322584","109"
"0.004002236240322584","0.005002236240322584","102"
"0.005002236240322584","0.006002236240322584","95"
"0.006002236240322584","0.007002236240322584","97"
"0.007002236240322584","0.008002236240322584","90"
"0.008002236240322584","0.009002236240322585","94"
"0.009002236240322585","0.010002236240322584","100"
"0.010002236240322584","0.011002236240322583","92"
"0.011002236240322583","0.012002236240322584","110"
"0.012002236240322584","0.013002236240322585","89"
"0.013002236240322585","0.014002236240322584","95"
"0.014002236240322584","0.015002236240322583","103"
"0.015002236240322583","0.016002236240322584","110"
"0.016002236240322584","0.017002236240322585","98"
"0.017002236240322585","0.018002236240322586","100"
"0.018002236240322586","0.019002236240322583","101"
"0.019002236240322583","0.020002236240322584","95"
"0.020002236240322584","0.021002236240322585","98"
"0.021002236240322585","0.022002236240322583","105"
"0.022002236240322583","0.023002236240322584","105"
"0.023002236240322584","0.024002236240322584","107"
"0.024002236240322584","0.025002236240322585","91"
"0.025002236240322585","0.026002236240322586","101"
"0.026002236240322586","0.027002236240322584","98"
"0.027002236240322584","0.028002236240322585","111"
"0.028002236240322585","0.029002236240322585","97"
"0.029002236240322585","0.030002236240322583","113"
"0.030002236240322583","0.031002236240322584","116"
"0.031002236240322584","0.032002236240322585","105"
"0.032002236240322585","0.033002236240322586","100"
"0.033002236240322586","0.034002236240322586","89"
"0.034002236240322586","0.03500223624032259","104"
"0.03500223624032259","0.03600223624032259","98"
"0.03600223624032259","0.03700223624032258","113"
"0.03700223624032258","0.03800223624032258","109"
"0.03800223624032258","0.039002236240322584","96"
"0.039002236240322584","0.040002236240322585","96"
"0.040002236240322585","0.041002236240322586","84"
"0.041002236240322586","0.04200223624032259","108"
"0.04200223624032259","0.04300223624032259","100"
"0.04300223624032259","0.04400223624032258","106"
"0.04400223624032258","0.04500223624032258","97"
"0.04500223624032258","0.04600223624032258","93"
"0.04600223624032258","0.047002236240322584","104"
"0.047002236240322584","0.048002236240322585","111"
"0.048002236240322585","0.049002236240322586","116"
"0.049002236240322586","0.05000223624032259","113"
"0.05000223624032259","0.05100223624032259","97"
"0.05100223624032259","0.05200223624032259","108"
"0.05200223624032259","0.05300223624032258","91"
"0.05300223624032258","0.05400223624032258","81"
"0.05400223624032258","0.055002236240322584","90"
"0.055002236240322584","0.056002236240322585","109"
"0.056002236240322585","0.057002236240322586","115"
"0.057002236240322586","0.05800223624032259","96"
"0.05800223624032259","0.05900223624032259","75"
"0.05900223624032259","0.06000223624032258","108"
"0.06000223624032258","0.06100223624032258","102"
"0.06100223624032258","0.062002236240322584","110"
"0.062002236240322584","0.06300223624032258","86"
"0.06300223624032258","0.06400223624032259","92"
"0.06400223624032259","0.06500223624032259","81"
"0.06500223624032259","0.06600223624032259","100"
"0.06600223624032259","0.06700223624032259","94"
"0.06700223624032259","0.06800223624032259","97"
"0.06800223624032259","0.06900223624032259","87"
"0.06900223624032259","0.07000223624032259","77"
"0.07000223624032259","0.07100223624032259","83"
"0.07100223624032259","0.07200223624032259","91"
"0.07200223624032259","0.07300223624032258","93"
"0.07300223624032258","0.07400223624032258","105"
"0.07400223624032258","0.07500223624032258","97"
"0.07500223624032258","0.07600223624032258","111"
"0.07600223624032258","0.07700223624032258","91"
"0.07700223624032258","0.07800223624032258","88"
"0.07800223624032258","0.07900223624032258","112"
"0.07900223624032258","0.08000223624032259","81"
"0.08000223624032259","0.08100223624032259","89"
"0.08100223624032259","0.08200223624032259","114"
"0.08200223624032259","0.08300223624032259","91"
"0.08300223624032259","0.08400223624032259","114"
"0.08400223624032259","0.08500223624032259","95"
"0.08500223624032259","0.08600223624032259","112"
"0.08600223624032259","0.08700223624032259","106"
"0.08700223624032259","0.08800223624032258","104"
"0.08800223624032258","0.08900223624032258","100"
"0.08900223624032258","0.09000223624032258","115"
"0.09000223624032258","0.09100223624032258","95"
"0.09100223624032258","0.09200223624032258","115"
"0.09200223624032258","0.09300223624032258","112"
"0.09300223624032258","0.09400223624032258","106"
"0.09400223624032258","0.09500223624032259","96"
"0.09500223624032259","0.09600223624032259","107"
"0.09600223624032259","0.09700223624032259","100"
"0.09700223624032259","0.09800223624032259","86"
"0.09800223624032259","0.09900223624032259","120"
"0.09900223624032259","0.10000223624032259","96"
"0.10000223624032259","0.10100223624032259","88"
"0.10100223624032259","0.10200223624032259","98"
"0.10200223624032259","0.10300223624032259","97"
"0.10300223624032259","0.1040022362403226","106"
"0.1040022362403226","0.10500223624032258","116"
"0.10500223624032258","0.10600223624032258","80"
"0.10600223624032258","0.10700223624032258","95"
"0.10700223624032258","0.10800223624032258","102"
"0.10800223624032258","0.10900223624032258","107"
"0.10900223624032258","0.11000223624032258","111"
"0.11000223624032258","0.11100223624032259","95"
"0.11100223624032259","0.11200223624032259","104"
"0.11200223624032259","0.11300223624032259","106"
"0.11300223624032259","0.11400223624032259","106"
"0.11400223624032259","0.11500223624032259","100"
"0.11500223624032259","0.11600223624032259","111"
"0.11600223624032259","0.11700223624032259","100"
"0.11700223624032259","0.11800223624032259","80"
"0.11800223624032259","0.11900223624032259","103"
"0.11900223624032259","0.12000223624032258","95"
"0.12000223624032258","0.12100223624032258","99"
"0.12100223624032258","0.12200223624032258","86"
"0.12200223624032258","0.12300223624032258","93"
"0.12300223624032258","0.12400223624032258","118"
"0.12400223624032258","0.12500223624032258","93"
"0.12500223624032258","0.12600223624032258","98"
"0.12600223624032258","0.12700223624032259","102"
"0.12700223624032259","0.1280022362403226","99"
"0.1280022362403226","0.1290022362403226","98"
"0.1290022362403226","0.1300022362403226","102"
"0.1300022362403226","0.1310022362403226","89"
"0.1310022362403226","0.1320022362403226","104"
"0.1320022362403226","0.1330022362403226","102"
"0.1330022362403226","0.1340022362403226","73"
"0.1340022362403226","0.1350022362403226","116"
"0.1350022362403226","0.1360022362403226","106"
"0.1360022362403226","0.1370022362403226","104"
"0.1370022362403226","0.1380022362403226","82"
"0.1380022362403226","0.1390022362403226","99"
"0.1390022362403226","0.1400022362403226","102"
"0.1400022362403226","0.1410022362403226","94"
"0.1410022362403226","0.1420022362403226","112"
"0.1420022362403226","0.1430022362403226","98"
"0.1430022362403226","0.1440022362403226","87"
"0.1440022362403226","0.14500223624032257","108"
"0.14500223624032257","0.14600223624032257","102"
"0.14600223624032257","0.14700223624032258","76"
"0.14700223624032258","0.14800223624032258","84"
"0.14800223624032258","0.14900223624032258","102"
"0.14900223624032258","0.15000223624032258","108"
"0.15000223624032258","0.15100223624032258","100"
"0.15100223624032258","0.15200223624032258","95"
"0.15200223624032258","0.15300223624032258","99"
"0.15300223624032258","0.15400223624032258","106"
"0.15400223624032258","0.15500223624032258","98"
"0.15500223624032258","0.15600223624032258","112"
"0.15600223624032258","0.15700223624032258","98"
"0.15700223624032258","0.15800223624032259","94"
"0.15800223624032259","0.1590022362403226","113"
"0.1590022362403226","0.1600022362403226","94"
"0.1600022362403226","0.1610022362403226","87"
"0.1610022362403226","0.1620022362403226","113"
"0.1620022362403226","0.1630022362403226","86"
"0.1630022362403226","0.1640022362403226","88"
"0.1640022362403226","0.1650022362403226","106"
"0.1650022362403226","0.1660022362403226","94"
"0.1660022362403226","0.1670022362403226","91"
"0.1670022362403226","0.1680022362403226","100"
"0.1680022362403226","0.1690022362403226","108"
"0.1690022362403226","0.1700022362403226","106"
"0.1700022362403226","0.1710022362403226","100"
"0.1710022362403226","0.1720022362403226","105"
"0.1720022362403226","0.1730022362403226","92"
